id,status
1000,warning
1001,critical
1002,normal
1003,critical
1004,normal
1005,normal
1006,normal
1007,normal
1008,normal
1009,normal
1010,normal
1011,normal
1012,normal
1013,warning
1014,normal
1015,normal
1016,normal
1017,normal
1018,normal
1019,normal
1020,normal
1021,normal
1022,normal
1023,normal
1024,normal
1025,normal
1026,normal
1027,normal
1028,normal
1029,normal
1030,normal
1031,normal
1032,normal
1033,normal
1034,normal
1035,normal
1036,normal
1037,normal
1038,normal
1039,normal
1040,normal
1041,normal
1042,normal
1043,normal
1044,normal
1045,normal
1046,normal
1047,normal
1048,normal
1049,normal
1050,normal
